关键词,场景域,场景类型,意图强度,竞争密度,人工初判,关联案例ID,状态,发布日,笔记链接,搜索来源占比
谈薪没问清楚税前税后怎么办,谈薪,症状,中,待探测,,,放弃,,,
谈薪问题问多了会不会显得不稳重,谈薪,症状,中,待探测,,,放弃,,,
年终奖中途入职怎么算,谈薪,事件,高,低,,,排队,,,
上家公司还没辞职去面试怎么说,面试,情境,中,待探测,,,放弃,,,
试用期过了不给转正怎么说,空降接手,事件,高,中,,,已验证,,,
试用期结束不想转正怎么跟领导说,空降接手,情境,高,低,,,已验证,,,
试用期快到期不给转正怎么办,空降接手,情境,高,待探测,,,放弃,,,
编造工作经历和社保记录对不上怎么解释,面试,事件,高,低,,,已验证,,,
空降领导如何获得跨部门支持,空降接手,情境,高,低,"答案空缺:现有内容多讲纵向""如何快速掌权/应对下属抵制"",缺横向""跨部门联盟构建话术""角度(08-03run4)",,已验证,,,
还没毕业去面试怎么说,面试,情境,高,低,,,已验证,,,
公务员面试开头过渡语怎么说,,待归类,,高,"三条件验证(2026-08-06):公考结构化面试过渡语赛道供给成熟,前排普遍1300-7800赞,竞争密度高,且偏体制内考试向与账号商业面试定位契合度弱,判定放弃",,放弃,,,
面试反问环节可以问什么,,待归类,,,,,候选,,,
面试说了不该说的话怎么办,,待归类,,,,,候选,,,
没辞职去面试怎么和hr说,,待归类,,,,,放弃,,,
找工作但还没离职怎么面试,,待归类,,,,,放弃,,,
面试想问团队氛围怎么回答,,待归类,,,,,候选,,,
怎么礼貌拒绝别人的请求,,待归类,,,,,候选,,,
拒绝领导找你帮忙的话术,,待归类,,,,,候选,,,
新领导空降老员工如何应对,,情境,高,中,"三条件:a过(搜索框下拉命中近义变体'面对新空降的领导如何应对';大家都在搜命中'空降新领导老员工怎么做');b过(结果较多);c中等(top10约4/12超500赞,含8083/3145/5618等,竞争中等)。已验证。答案空缺=现有内容几乎全部站在'新空降管理者'视角讲生存法则,极少有内容站在'被空降的老员工'视角讲如何应对/自处,这是本轮最大答案空缺发现(08-05run4)",,已验证,,,
怎么找领导表达自己想升职,,情境,高,中,,,已验证,,,
面试回答被说像背的怎么办,面试,症状,高,低,,,已验证,,,
面试话术太学生气怎么改,待归类,待归类,待探测,待探测,,,候选,,,
不会说场面话的人怎么过老板终面,待归类,待归类,待探测,待探测,,,候选,,,
终面被问空窗两年怎么回答,待归类,待归类,待探测,待探测,,,放弃,,,
总经理终面问期望薪资怎么答,待归类,待归类,待探测,待探测,,,候选,,,
终面怎么说话才不显得低人一等,待归类,待归类,待探测,待探测,,,候选,,,
面试时该不该对面试官说感谢,面试,事件,高,低,"三条件全过:大家都在搜命中面试完感谢话术/面试通过后如何对hr表达谢谢/感谢面试机会怎么回复等多个精准变体;结果较多(20+条直接相关);前排多数<500(仅268/433/135/1312/630几条,大多<500);答案空缺=现有内容多给'该说'的单向建议(发感谢信提升好感度),缺针对用户真实纠结('谢谢你的时间=礼貌性淘汰'式焦虑)的两难决策框架和非谄媚话术分寸(08-05run4)",,已验证,,,
晋升述职 业务理解板块 数据放什么,待归类,待归类,待探测,待探测,,,候选,,,
晋升述职 只会罗列工作 怎么改,待归类,待归类,待探测,待探测,,,候选,,,
述职 价值 怎么用一句话写出来,待归类,待归类,待探测,待探测,,,候选,,,
晋升述职 角色认知 写现岗还是目标岗,待归类,待归类,待探测,待探测,,,候选,,,
答辩只有30分钟 评委走流程 怎么讲重点,待归类,待归类,待探测,待探测,,,候选,,,
接住领导追问 思考框架 具体怎么用,待归类,待归类,待探测,待探测,,,候选,,,
汇报时数据还没出来怎么说,待归类,事件,高,低,"08-04run4验证:大家都在搜命中近义变体(进度为0怎么汇报/组会没结果怎么汇报);精准回答本疑问的笔记普遍<500赞(15/117/5),仅2条通用汇报模板较高(617/3880);答案空缺=现有内容多为通用汇报模板,缺'数据确实还没跑出来'这一技术性延迟场景下如何汇报而不显得推诿的具体话术",,已验证,,,
刚换领导汇报节奏对不上,日常协作,情境,中,低,"三条件:a过(大家都在搜命中向新来的领导汇报分管工作/新领导来了如何汇报工作等近义变体);b过(结果较多);c过(相关笔记前排多数<500,仅个别通用汇报话术热度较高但非本疑问专属内容)。已验证。答案空缺=现有内容全部是'新领导上任怎么做'(新领导视角)或泛化'汇报话术原则',没有一篇专门讲下属原有汇报节奏/详略习惯与新领导偏好不合拍时如何识别信号并主动调频,这是具体细分角度的空白(08-05run4)",,已验证,,,
长期被领导打断怎么调整,待归类,待归类,待探测,待探测,,,候选,,,
汇报模板做不到怎么办,待归类,待归类,待探测,待探测,,,候选,,,
hr面和业务面区别问的问题,面试,情境,高,低,"三条件全过:命中精准匹配笔记'HR面和业务面，到底有什么不同？'(仅13赞)及大家都在搜'hr面试和业务面的区别';结果较多(20+条);top10中通用HR面100问题库类虽热度高(4888/6992/2010)但与本疑问'区别对比'角度不同,真正匹配'区别对比'角度的笔记(HR面和业务面到底有什么不同/为什么HR面过了业务面却挂了/业务面HR面老板面一条视频讲透)普遍热度极低(13/188/无数据),竞争密度低。答案空缺=题库类内容占据搜索结果但不解答'区别',真正回应'区别'角度的内容量少热度低,缺系统的'HR面该说什么vs业务面该说什么'对照话术(08-05run4)",,已验证,,,
面试反问hr不耐烦怎么办,待归类,待归类,待探测,待探测,"08-04run4验证:大家都在搜未见'hr不耐烦'该细分变体,仅泛化反问技巧标签;前排内容均为通用反问公式/话术且与已饱和'面试反问'活跃词高度重叠,判定放弃",,放弃,,,
私企hr终面能问什么,待归类,待归类,待探测,待探测,,,候选,,,
hr面问试岗期怎么问不得罪,待归类,待归类,待探测,待探测,,,候选,,,
为什么想来我们公司hr想听什么,待归类,待归类,待探测,待探测,,,候选,,,
应届生hr终面怎么答,待归类,待归类,待探测,待探测,,,候选,,,
答辩被打断该不该解释,待归类,待归类,待探测,待探测,,,候选,,,
答辩被问懵大脑空白怎么救,待归类,待归类,待探测,待探测,,,候选,,,
答辩只答不辩会不会显得啥也不会,待归类,待归类,待探测,待探测,,,候选,,,
答辩问为什么选这个课题真话怎么说,待归类,待归类,待探测,待探测,,,候选,,,
答辩到底要不要写逐字稿,待归类,待归类,待探测,待探测,,,候选,,,
讲PPT声音发抖怎么控制,答辩述职,情境,中,中高,"放弃:大家都在搜命中讲ppt声音发抖怎么办等近义变体(条件a过);结果较多(条件b过);但top10约4篇超500赞(7816/911/2968/812),且赛道已有37000赞爆款'我发现一个讲PPT超自然的方法'占位,竞争密度中高(08-05run4)",,放弃,,,
救场话术也忘了怎么办,待归类,待归类,待探测,待探测,,,候选,,,
被打断后忘了讲到哪怎么接回去,待归类,待归类,待探测,待探测,,,候选,,,
新领导上任被打低绩效怎么谈,待归类,待归类,待探测,待探测,,,候选,,,
低绩效逼你主动离职怎么谈赔偿,待归类,待归类,待探测,待探测,,,候选,,,
产假回来被打低绩效怎么办,待归类,待归类,待探测,待探测,,,候选,,,
连续两年被打C还要不要谈,待归类,待归类,待探测,待探测,,,候选,,,
绩效理由是人际关系不好怎么反驳,待归类,待归类,待探测,待探测,,,候选,,,
公司没人谈绩效我去谈会怎样,待归类,待归类,待探测,待探测,,,候选,,,
确定要走了绩效面谈还要不要谈,待归类,待归类,待探测,待探测,,,候选,,,
每年都拿C怎么办,待归类,待归类,待探测,待探测,,,候选,,,
绩效目标根本完不成怎么谈,待归类,待归类,待探测,待探测,,,候选,,,
边缘部门被打低绩效怎么谈,待归类,待归类,待探测,待探测,,,候选,,,
领导故意打低绩效怎么应对,待归类,待归类,待探测,待探测,,,候选,,,
领导不说打低分的真实理由怎么办,待归类,待归类,待探测,待探测,,,候选,,,
领导默许的孤立怎么办,待归类,待归类,待探测,待探测,,,候选,,,
领导带头孤立我怎么办,待归类,待归类,待探测,待探测,,,候选,,,
能力一般被同事孤立怎么办,待归类,待归类,待探测,待探测,,,候选,,,
正在被孤立 第二天上班怎么做,待归类,待归类,待探测,待探测,,,候选,,,
同事在领导面前造谣我怎么办,待归类,待归类,待探测,待探测,,,候选,,,
不理会小人没用怎么办,待归类,待归类,待探测,待探测,,,候选,,,
职场霸凌找HR有用吗,待归类,待归类,待探测,待探测,,,候选,,,
怎么警告同事才管用,待归类,待归类,待探测,待探测,,,候选,,,
被孤立要不要辞职 什么时候该走,待归类,待归类,待探测,待探测,,,候选,,,
怼回去了对方还继续说怎么办,待归类,待归类,待探测,待探测,,,候选,,,
不回应会不会被当成好欺负,待归类,待归类,待探测,待探测,,,候选,,,
对不讲理的同事沉默有用吗,待归类,待归类,待探测,待探测,,,候选,,,
被冒犯当场忍不下来怎么办,待归类,待归类,待探测,待探测,,,候选,,,
被同事当众怼当场反应不过来,待归类,待归类,待探测,待探测,,,候选,,,
做不到平静回应怎么办,待归类,待归类,待探测,待探测,,,候选,,,
反击同事后被穿小鞋怎么办,待归类,待归类,待探测,待探测,,,候选,,,
面试被面试官看不起怎么回应,待归类,待归类,待探测,待探测,,,候选,,,
领导说我要的是成品不要老来问怎么办,待归类,待归类,待探测,待探测,,,候选,,,
跟领导报风险反被针对怎么办,待归类,待归类,待探测,待探测,,,候选,,,
领导抢先向大领导告状怎么办,待归类,待归类,待探测,待探测,,,候选,,,
领导安排明知做不成的任务怎么交差,待归类,待归类,待探测,待探测,,,候选,,,
领导不回复怎么留汇报痕迹,待归类,待归类,待探测,待探测,,,候选,,,
被领导坐冷板凳逼退怎么办,待归类,待归类,待探测,待探测,,,候选,,,
汇报被领导当场拆穿怎么办,待归类,待归类,待探测,待探测,,,候选,,,
领导只看结果不听过程汇报怎么办,待归类,待归类,待探测,待探测,,,候选,,,
做得好但汇报没说好怎么补救,待归类,待归类,待探测,待探测,,,候选,,,
领导不回复就执行出了问题算谁的,待归类,待归类,待探测,待探测,,,候选,,,
领导不回复要不要先做,待归类,待归类,待探测,待探测,,,候选,,,
不明确不推进为什么还是背锅,待归类,待归类,待探测,待探测,,,候选,,,
领导不回消息要不要停下等他,待归类,待归类,待探测,待探测,,,候选,,,
领导不拍板怎么逼他确认,待归类,待归类,待探测,待探测,,,候选,,,
领导消息说一半怎么确认意思,待归类,待归类,待探测,待探测,,,候选,,,
追问了几次还是不回怎么办,待归类,待归类,待探测,待探测,,,候选,,,
追问领导算不算打扰,待归类,待归类,待探测,待探测,,,候选,,,
领导不回消息能不能直接打电话,待归类,待归类,待探测,待探测,,,候选,,,
手上有offer怎么和另一家hr谈薪,待归类,待归类,待探测,待探测,,,候选,,,
已经同意了offer薪资还能再谈吗,待归类,待归类,待探测,待探测,,,候选,,,
面试过了期望薪资说低了怎么和hr谈,待归类,待归类,待探测,待探测,,,候选,,,
面试被问能不能接受加班怎么回答,待归类,待归类,待探测,待探测,,,候选,,,
事业编面试哪些行为会导致不及格,待归类,待归类,待探测,待探测,,,候选,,,
面试问你上一份工作为什么辞职,待归类,待归类,待探测,待探测,,,候选,,,
面试自我介绍需要说每段经历吗,待归类,待归类,待探测,待探测,,,候选,,,
hr问上一份薪资多少怎么回答,待归类,待归类,待探测,待探测,,,候选,,,
接受了offer还能谈薪吗,待归类,待归类,待探测,待探测,,,候选,,,
面试后hr问面试感觉怎么样,待归类,待归类,待探测,待探测,,,候选,,,
和hr聊天说错话了怎么补救,待归类,待归类,待探测,待探测,,,候选,,,
面试优缺点怎么高情商回答,待归类,待归类,待探测,待探测,,,候选,,,
领导找你单独谈话该说什么,待归类,待归类,待探测,待探测,,,候选,,,
面试到谈薪阶段意味着什么,待归类,待归类,待探测,待探测,,,候选,,,
低学历面试自我介绍怎么说,待归类,待归类,待探测,待探测,,,候选,,,
线上面试怎么自然的看稿子,待归类,待归类,待探测,待探测,,,候选,,,
领导甩锅的幽默文案怎么写,待归类,待归类,待探测,待探测,,,候选,,,
面试时怎么说自己的优缺点,待归类,待归类,待探测,待探测,,,候选,,,
面试感觉自己说错了怎么办,待归类,待归类,待探测,待探测,,,候选,,,
约了面试临时不想去怎么说,待归类,待归类,待探测,待探测,,,候选,,,
不想参加线上面试了怎么说,待归类,待归类,待探测,待探测,,,候选,,,
身体原因离职面试怎么回答,待归类,待归类,待探测,待探测,,,候选,,,
如何委婉拒绝老板增加工作,待归类,待归类,待探测,待探测,,,候选,,,
如果面试官问你还有问题吗,待归类,待归类,待探测,待探测,,,候选,,,
面试时可以说自己还在职吗,待归类,待归类,待探测,待探测,,,候选,,,
面试官问缺点应该怎么回答,待归类,待归类,待探测,待探测,,,候选,,,
事业编面试哪些信息不能说,待归类,待归类,待探测,待探测,,,候选,,,
空降中层如何快速融入团队,待归类,待归类,待探测,待探测,,,候选,,,
面试不能说哪些个人信息,待归类,待归类,待探测,待探测,,,候选,,,
工作pua话术如何应对,待归类,待归类,待探测,待探测,,,候选,,,
面试说半天可以给结果吗,待归类,待归类,待探测,待探测,,,候选,,,
面试中如何体现AI思维,待归类,待归类,待探测,待探测,,,候选,,,
对方上班了怎么幽默回复,待归类,待归类,待探测,待探测,,,候选,,,
面试中哪些信号基本稳了,待归类,待归类,待探测,待探测,,,候选,,,
hr说超预算了怎么回复,待归类,待归类,待探测,待探测,,,候选,,,
怎么提高面试中的配得感,待归类,待归类,待探测,待探测,,,候选,,,
个人原因离职怎么简单说,待归类,待归类,待探测,待探测,,,候选,,,
三面hr面一般会问什么,待归类,待归类,待探测,待探测,,,候选,,,
不去面试了怎么和hr说,待归类,待归类,待探测,待探测,,,候选,,,
面试时被hr讽刺怎么办,待归类,待归类,待探测,待探测,,,候选,,,
面试过程中说错了怎么办,待归类,待归类,待探测,待探测,,,候选,,,
面试之后加了微信怎么说,待归类,待归类,待探测,待探测,,,候选,,,
什么情况暗示你面试过了,待归类,待归类,待探测,待探测,,,候选,,,
有事情不能去面试怎么说,待归类,待归类,待探测,待探测,,,候选,,,
拒绝别人的面试怎么回答,待归类,待归类,待探测,待探测,,,候选,,,
面试你还有什么想问的吗,待归类,待归类,待探测,待探测,,,候选,,,
面试通过谈薪资怎么谈,待归类,待归类,待探测,待探测,,,候选,,,
线上面试可以看稿子吗,待归类,待归类,待探测,待探测,,,候选,,,
视频面试有什么技巧吗,待归类,待归类,待探测,待探测,,,候选,,,
面试中如何营造松弛感,待归类,待归类,待探测,待探测,,,候选,,,
面试个人优缺点怎么写,待归类,待归类,待探测,待探测,,,候选,,,
hr谈薪怎么争取薪资,待归类,待归类,待探测,待探测,,,候选,,,
面试停下思考怎么表现,待归类,待归类,待探测,待探测,,,候选,,,
和老板1on1怎么聊,待归类,待归类,待探测,待探测,,,候选,,,
给贵人汇报工作怎么说,待归类,待归类,待探测,待探测,,,候选,,,
和hr谈薪酬怎么争取,待归类,待归类,待探测,待探测,,,候选,,,
社招跳槽涨薪多少合适,待归类,待归类,待探测,待探测,,,候选,,,
hr怎么和候选人谈薪,待归类,待归类,待探测,待探测,,,候选,,,
1分钟自我介绍怎么写,待归类,待归类,待探测,待探测,,,候选,,,
hr谈薪一般会压多少,待归类,待归类,待探测,待探测,,,候选,,,
面试中如何展现活人感,待归类,待归类,待探测,待探测,,,候选,,,
豆包ai面试怎么使用,待归类,待归类,待探测,待探测,,,候选,,,
面试被问还有什么问题,待归类,待归类,待探测,待探测,,,候选,,,
结构化面试不能说什么,待归类,待归类,待探测,待探测,,,候选,,,
怎么在面试时展示幽默,待归类,待归类,待探测,待探测,,,候选,,,
怎么问offer进度,待归类,待归类,待探测,待探测,,,候选,,,
面试时间很短说明什么,待归类,待归类,待探测,待探测,,,候选,,,
hr面试被反杀怎么办,待归类,待归类,待探测,待探测,,,候选,,,
如何回答面试官的问题,待归类,待归类,待探测,待探测,,,候选,,,
面试自我评价该怎么写,待归类,待归类,待探测,待探测,,,候选,,,
hr给薪资后还能谈吗,待归类,待归类,待探测,待探测,,,候选,,,
工作应聘应该问哪些,待归类,待归类,待探测,待探测,,,候选,,,
面试说错了怎么补救,待归类,待归类,待探测,待探测,,,候选,,,
面试松弛感怎么表现,待归类,待归类,待探测,待探测,,,候选,,,
面试如何保持松弛感,待归类,待归类,待探测,待探测,,,候选,,,
职场中如何表达自己,待归类,待归类,待探测,待探测,,,候选,,,
面试想到什么说什么,待归类,待归类,待探测,待探测,,,候选,,,
面试一开始要说什么,待归类,待归类,待探测,待探测,,,候选,,,
面试要准备什么东西,待归类,待归类,待探测,待探测,,,候选,,,
离职原因简短怎么写,待归类,待归类,待探测,待探测,,,候选,,,
怎么给贵人主动汇报,待归类,待归类,待探测,待探测,,,候选,,,
面试怎么说自我介绍,待归类,待归类,待探测,待探测,,,候选,,,
怎么和hr争取薪资,待归类,待归类,待探测,待探测,,,候选,,,
第一次面试要说什么,待归类,待归类,待探测,待探测,,,候选,,,
职场边界感如何把握,待归类,待归类,待探测,待探测,,,候选,,,
面试前要做哪些准备,待归类,待归类,待探测,待探测,,,候选,,,
面试活人感怎么表现,待归类,待归类,待探测,待探测,,,候选,,,
如何反问面试官问题,待归类,待归类,待探测,待探测,,,候选,,,
面试配得感怎么展示,待归类,待归类,待探测,待探测,,,候选,,,
面试配得感怎么提升,待归类,待归类,待探测,待探测,,,候选,,,
个人原因离职怎么说,待归类,待归类,待探测,待探测,,,候选,,,
面试问你有什么优势,待归类,待归类,待探测,待探测,,,候选,,,
如何面试时保持自信,待归类,待归类,待探测,待探测,,,候选,,,
面试过了怎么谈薪资,待归类,待归类,待探测,待探测,,,候选,,,
线上面试穿什么衣服,待归类,待归类,待探测,待探测,,,候选,,,
hr终面一般问什么,待归类,待归类,待探测,待探测,,,候选,,,
面试说错话了能过吗,待归类,待归类,待探测,待探测,,,候选,,,
不参加面试怎么措辞,待归类,待归类,待探测,待探测,,,候选,,,
面试不参加了怎么说,待归类,待归类,待探测,待探测,,,候选,,,
无法参加面试怎么说,待归类,待归类,待探测,待探测,,,候选,,,
面试怎么写自我评价,待归类,待归类,待探测,待探测,,,候选,,,
职场边界感怎么处理,待归类,待归类,待探测,待探测,,,候选,,,
hr问空窗期怎么说,待归类,待归类,待探测,待探测,,,候选,,,
如何向上管理男领导,待归类,待归类,待探测,待探测,,,候选,,,
怎么和hr说涨工资,待归类,待归类,待探测,待探测,,,候选,,,
面试松弛感怎么练,待归类,待归类,待探测,待探测,,,候选,,,
面试潜台词怎么答,待归类,待归类,待探测,待探测,,,候选,,,
面试应该怎么准备,待归类,待归类,待探测,待探测,,,候选,,,
谈薪话术怎么争取,待归类,待归类,待探测,待探测,,,候选,,,
面试要说什么话术,待归类,待归类,待探测,待探测,,,候选,,,
面试反问要问什么,待归类,待归类,待探测,待探测,,,候选,,,
校招谈薪资怎么谈,待归类,待归类,待探测,待探测,,,候选,,,
职场如何有效接话,待归类,待归类,待探测,待探测,,,候选,,,
如何有效向上汇报,待归类,待归类,待探测,待探测,,,候选,,,
面试都应该说什么,待归类,待归类,待探测,待探测,,,候选,,,
面试说什么比较好,待归类,待归类,待探测,待探测,,,候选,,,
面试坐姿手怎么放,待归类,待归类,待探测,待探测,,,候选,,,
面试应该说什么话,待归类,待归类,待探测,待探测,,,候选,,,
如何避免别人甩锅,待归类,待归类,待探测,待探测,,,候选,,,
博弈论面试怎么答,待归类,待归类,待探测,待探测,,,候选,,,
面试怎么积累素材,待归类,待归类,待探测,待探测,,,候选,,,
hr骚扰怎么处理,待归类,待归类,待探测,待探测,,,候选,,,
如何进行技术面试,待归类,待归类,待探测,待探测,,,候选,,,
面试到底要说什么,待归类,待归类,待探测,待探测,,,候选,,,
面试没去怎么解释,待归类,待归类,待探测,待探测,,,候选,,,
面试内容可以问吗,待归类,待归类,待探测,待探测,,,候选,,,
周例会如何汇报,待归类,待归类,待探测,待探测,,,候选,,,
面试该说点什么,待归类,待归类,待探测,待探测,,,候选,,,
如何礼貌谈加薪,待归类,待归类,待探测,待探测,,,候选,,,
面试该说些什么,待归类,待归类,待探测,待探测,,,候选,,,
委婉离职怎么说,待归类,待归类,待探测,待探测,,,候选,,,
离职原因怎么填,待归类,待归类,待探测,待探测,,,候选,,,
面试一般问什么,待归类,待归类,待探测,待探测,,,候选,,,
职场上怎么接话,待归类,待归类,待探测,待探测,,,候选,,,
